id,place_name,address_name,category_name,x,y,phone,place_url,keywords
1445399366,별돈별 정원점,제주특별자치도 제주시 한경면 고산리 2471,"음식점 > 한식 > 육류,고기",126.1801669,33.30866164,064-772-5895,http://place.map.kakao.com/1445399366,"고기, 육류, 한식"
10949265,한경가든,제주특별자치도 제주시 한경면 고산리 3565-1,"음식점 > 한식 > 해물,생선",126.1736127,33.30455383,064-773-2178,http://place.map.kakao.com/10949265,"생선, 한식, 해물"
1994421978,옛날국수집,제주특별자치도 제주시 한경면 고산리 2634-9,음식점 > 한식 > 국수,126.1780253,33.30733657,064-773-7778,http://place.map.kakao.com/1994421978,"국수, 한식"
2074696121,금자매식당,제주특별자치도 제주시 한경면 고산리 2674,음식점 > 한식,126.1764373,33.30584383,064-773-9991,http://place.map.kakao.com/2074696121,한식
1012927839,제주고로,제주특별자치도 서귀포시 대정읍 무릉리 2891-1,음식점 > 일식 > 일식집,126.2024474,33.27114863,0507-1312-9080,http://place.map.kakao.com/1012927839,일식
26404759,어촌계식당,제주특별자치도 서귀포시 대정읍 신도리 3076-1,"음식점 > 한식 > 해물,생선",126.1710185,33.27641033,064-773-0010,http://place.map.kakao.com/26404759,"생선, 한식, 해물"
26847400,엄블랑,제주특별자치도 제주시 한경면 고산리 1727,음식점 > 중식,126.1950493,33.29743128,064-773-8883,http://place.map.kakao.com/26847400,
8964063,만덕본가,제주특별자치도 제주시 한경면 고산리 3592-1,"음식점 > 한식 > 해물,생선",126.1654861,33.30891643,064-772-3356,http://place.map.kakao.com/8964063,"생선, 한식, 해물"
2108450970,지서개식당,제주특별자치도 제주시 한경면 용수리 4493,"음식점 > 한식 > 육류,고기",126.1706979,33.31926375,064-773-0124,http://place.map.kakao.com/2108450970,"고기, 육류, 한식"
792715062,제주돔베막국수,제주특별자치도 제주시 한경면 고산리 2749-3,음식점 > 한식 > 국수,126.1793607,33.30416637,010-6372-3764,http://place.map.kakao.com/792715062,"국수, 한식"
